[0.447, 19.667, 7.333, 0.775];[0.469, 11.333, 12.333, 0.755];[0, 1];
[0.506, 18.667, 9.333, 0.86];[0.422, 11.667, 12.667, 0.794];[1, 0];
[0.479, 10.0, 12.333, 0.723];[0.468, 13.0, 11.0, 0.726];[1, 0];
[0.487, 15.667, 10.333, 0.767];[0.477, 13.333, 8.0, 0.701];[1, 0];
[0.469, 17.333, 8.667, 0.858];[0.49, 17.667, 7.333, 0.76];[1, 0];
[0.506, 13.667, 9.0, 0.735];[0.395, 10.333, 9.0, 0.82];[1, 0];
[0.452, 14.667, 9.333, 0.711];[0.472, 13.667, 7.333, 0.784];[0, 1];
[0.506, 14.333, 8.667, 0.812];[0.457, 17.667, 8.333, 0.73];[0, 1];
[0.46, 11.0, 9.333, 0.755];[0.519, 11.333, 6.0, 0.855];[1, 0];
[0.449, 11.667, 10.667, 0.781];[0.434, 15.667, 10.0, 0.705];[1, 0];
[0.461, 19.333, 8.0, 0.79];[0.468, 13.667, 9.0, 0.821];[1, 0];
[0.471, 12.0, 11.0, 0.7];[0.476, 15.667, 7.667, 0.804];[0, 1];
[0.446, 15.333, 15.333, 0.868];[0.535, 13.333, 6.667, 0.691];[0, 1];
[0.445, 13.0, 7.333, 0.842];[0.465, 15.0, 3.333, 0.751];[1, 0];
[0.459, 13.0, 10.333, 0.824];[0.478, 16.0, 9.333, 0.832];[0, 1];
[0.434, 12.333, 10.333, 0.783];[0.506, 16.333, 8.0, 0.799];[0, 1];
[0.451, 14.333, 6.333, 0.739];[0.457, 11.667, 9.333, 0.73];[0, 1];
[0.474, 15.0, 10.667, 0.815];[0.443, 11.667, 13.333, 0.674];[1, 0];
[0.517, 14.0, 6.0, 0.571];[0.424, 17.667, 12.333, 0.773];[0, 1];
[0.461, 15.333, 11.0, 0.713];[0.435, 13.0, 7.333, 0.801];[1, 0];
[0.483, 17.333, 10.333, 0.756];[0.466, 15.0, 11.667, 0.704];[0, 1];
[0.457, 13.333, 7.333, 0.826];[0.53, 11.0, 6.667, 0.771];[1, 0];
[0.453, 14.333, 7.667, 0.765];[0.441, 8.0, 11.0, 0.78];[0, 1];
[0.477, 13.333, 8.333, 0.865];[0.514, 12.333, 8.333, 0.77];[0, 1];
[0.462, 10.667, 14.0, 0.728];[0.418, 17.0, 11.0, 0.866];[1, 0];
[0.438, 11.667, 8.333, 0.672];[0.465, 14.333, 8.333, 0.69];[0, 1];
